num of projects 60
*
projects 1 and 62 are dummy
*
project	#successors	      successors
1	3		2	3	4
2	3		5	10	15
3	3		7	14	29
4	3		8	12	16
5	3		6	22	24
6	2		17	38	
7	1		23		
8	3		9	20	40
9	2		13	35	
10	2		11	45	
11	3		26	37	44
12	2		21	27	
13	1		18		
14	3		18	19	34
15	2		25	59	
16	2		55	58	
17	2		32	43	
18	2		28	33	
19	1		28		
20	2		27	31	
21	1		39		
22	1		31		
23	1		51		
24	1		48		
25	1		40		
26	2		49	54	
27	2		30	51	
28	2		47	61	
29	2		41	57	
30	1		56		
31	1		43		
32	1		57		
33	1		39		
34	1		44		
35	2		36	39	
36	1		42		
37	1		58		
38	2		50	60	
39	1		53		
40	1		53		
41	1		46		
42	1		48		
43	2		51	58	
44	1		50		
45	1		53		
46	1		56		
47	1		52		
48	1		55		
49	1		60		
50	1		61		
51	1		60		
52	1		54		
53	1		56		
54	1		55		
55	1		57		
56	1		61		
57	1		59		
58	1		59		
59	1		62		
60	1		62		
61	1		62		
62	0			
